name,location,link,rooms,bathrooms,construction (m2),terrain (m2),divisa,price MP,Delegacion,colonia,gym,pool,pet,garage,elevador,terrace,garden
"Departamento Venta, Ingenieros Navales, Lomas del Chamizal","INGENIEROS NAVALES, Lomas de Vista Hermosa, Cuajimalpa de Morelos",/propiedades/departamento-venta-ingenieros-navales-lomas-del-57085927.html,2.0,2.0,80.0,80.0,1,4.2, Cuajimalpa de Morelos,LomasdeVistaHermosa,0,0,0,1,0,0,0
Departamento Venta / Goldsmith / Polanco,"GOLDSMITH, Polanco IV Sección, Miguel Hidalgo",/propiedades/departamento-venta-goldsmith-polanco-57085946.html,3.0,3.0,159.0,159.0,0,20.5029, Miguel Hidalgo,PolancoIVSección,1,0,0,1,0,1,1
Venta P. H. Col. Narvarte,"Zempoala, Narvarte, Benito Juárez",/propiedades/venta-p.-h.-col.-narvarte-57085949.html,2.0,3.0,221.0,221.0,1,6.40816, Benito Juárez,Narvarte,0,0,0,0,0,0,1
Precioso Depto. a Estrenar Entrega Inmediata de 89 m².,"Condesa, Hipódromo Condesa, Cuauhtémoc",/propiedades/precioso-depto.-a-estrenar-entrega-inmediata-de-89-57078580.html,2.0,2.0,89.0,89.0,1,8.142033999999999, Cuauhtémoc,HipódromoCondesa,0,0,0,1,0,1,0
Departamento Venta / Galileo / Polanco,"GALILEO, Polanco IV Sección, Miguel Hidalgo",/propiedades/departamento-venta-galileo-polanco-57086033.html,2.0,2.0,146.0,146.0,0,17.062078, Miguel Hidalgo,PolancoIVSección,0,0,0,1,0,0,0
Venta Departamentos Col. Narvarte,"Adolfo Prieto, Narvarte, Benito Juárez",/propiedades/venta-departamentos-col.-narvarte-57086054.html,2.0,2.0,124.0,124.0,1,6.499, Benito Juárez,Narvarte,0,0,0,0,0,0,0
Departamento Venta / Socrates / Polanco,"SOCRATES, Polanco IV Sección, Miguel Hidalgo",/propiedades/departamento-venta-socrates-polanco-57086058.html,2.0,2.0,137.0,137.0,0,18.662248, Miguel Hidalgo,PolancoIVSección,1,0,0,1,0,0,1
Venta Departamento Col. Narvarte,"Mitla, Narvarte, Benito Juárez",/propiedades/venta-departamento-col.-narvarte-57086060.html,2.0,2.0,93.0,93.0,1,4.6875, Benito Juárez,Narvarte,0,0,0,1,0,1,1
Departamento Venta / Avivia / Sec Marina / Bosques de Las Lomas,"SECRETARIA DE MARINA AVIVIA, Lomas del Chamizal, Cuajimalpa de Morelos",/propiedades/departamento-venta-avivia-sec-marina-bosques-de-57086094.html,3.0,3.0,273.0,273.0,1,14.0, Cuajimalpa de Morelos,LomasdelChamizal,1,1,0,1,0,0,0
Depto. Recién Remodelado en Cda. con Vigilancia en Bosque de Las Lomas,"Bosque de Cidros, Bosque de las Lomas, Miguel Hidalgo",/propiedades/depto.-recien-remodelado-en-cda.-con-vigilancia-en-57078754.html,3.0,3.0,330.0,330.0,1,13.495, Miguel Hidalgo,BosquedelasLomas,1,1,0,1,1,0,0
"Departamento, Roma, Álvaro Obregón","Roma, Cuauhtémoc",/propiedades/departamento-roma-alvaro-obregon-57078759.html,3.0,3.0,254.0,254.0,1,13.9, Cuauhtémoc,Roma,0,0,0,1,1,1,0
Departamento - Bosques de Las Lomas,"Bosques de las Lomas, Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/departamento-bosques-de-las-lomas-57078810.html,3.0,3.0,327.0,327.0,1,11.999989999999999, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,0,0,0
"Departamento en Venta en Moderna $1,960,000pesos","Amado Nervo 14, Moderna, Benito Juárez",/propiedades/departamento-en-venta-en-moderna-$1-960-000pesos-57038820.html,3.0,2.0,109.0,109.0,1,1.96, Benito Juárez,Moderna,0,0,0,1,0,0,0
"Del Gas, Azcapotzalco, Magníficos Deptos. con Amenidades Inigualables, Preventa","Del Gas, Azcapotzalco",/propiedades/del-gas-azcapotzalco-magnificos-deptos.-con-57038839.html,3.0,2.0,75.0,75.0,1,3.2, Azcapotzalco,DelGas,0,0,0,0,0,1,0
Nuevo Depto. PH en Santa Fe,"Santa Fe, Lomas de Vista Hermosa, Cuajimalpa de Morelos",/propiedades/nuevo-depto.-ph-en-santa-fe-57078845.html,3.0,3.0,731.0,731.0,1,29.999000000000002, Cuajimalpa de Morelos,LomasdeVistaHermosa,0,0,1,1,1,0,0
"Departamento en Venta en Hipódromo $2,140,000pesos","Baja California 252, Condesa, Cuauhtémoc",/propiedades/departamento-en-venta-en-hipodromo-$2-140-000pesos-57038905.html,2.0,1.0,70.0,70.0,1,2.14, Cuauhtémoc,Condesa,0,0,0,1,0,0,0
Departamento con Linda Vista en Lomas de Bezares,"Lomas de Bezares, Miguel Hidalgo",/propiedades/departamento-con-linda-vista-en-lomas-de-bezares-57078861.html,3.0,3.0,200.0,200.0,1,8.8, Miguel Hidalgo,LomasdeBezares,1,1,1,1,0,0,0
"Departamento en Venta en Santa Fe $3,780,000pesos","Av Bernardo Quintana 105, Lomas de Santa Fe, Alvaro Obregón",/propiedades/departamento-en-venta-en-santa-fe-$3-780-000pesos-57038928.html,2.0,2.0,150.0,150.0,1,3.78, Alvaro Obregón,LomasdeSantaFe,0,0,0,1,0,0,0
Departamento - Polanco II Sección,"Séneca, Polanco II Sección, Miguel Hidalgo",/propiedades/departamento-polanco-ii-seccion-57078895.html,3.0,4.0,288.0,288.0,0,30.8, Miguel Hidalgo,PolancoIISección,0,0,0,1,0,1,0
Oportunidad! Depto. Venta Súper Ubicado en Santa Fe,"Av. Santa Fe, Santa Fe, Alvaro Obregón",/propiedades/oportunidad!-depto.-venta-super-ubicado-en-santa-fe-57078907.html,2.0,2.0,160.0,160.0,0,6.556, Alvaro Obregón,SantaFe,0,0,0,1,0,0,0
Remate Bancario de Departamento No Credito en Miguel Hidalgo Sng70795,"Schiller #256, Polanco, Miguel Hidalgo",/propiedades/remate-bancario-de-departamento-no-credito-en-miguel-57039041.html,2.0,2.0,100.0,100.0,1,2.02, Miguel Hidalgo,Polanco,0,0,0,0,0,0,0
Departamento en Polanco 3 Recamaras,"Sofocles 136, Polanco, Miguel Hidalgo",/propiedades/departamento-en-polanco-3-recamaras-57039063.html,3.0,3.0,250.0,250.0,1,11.5, Miguel Hidalgo,Polanco,0,0,0,0,1,0,0
Oportunidad de Depto en Venustiano Carranza! Llama! Agenda Tu Cita Hoy!,"Rosario Castellanos 561, Artes Graficas, Venustiano Carranza",/propiedades/oportunidad-de-depto-en-venustiano-carranza!-llama!-57039471.html,2.0,1.0,60.0,60.0,1,0.661738, Venustiano Carranza,ArtesGraficas,0,0,0,0,0,0,0
