name,location,link,rooms,bathrooms,construction (m2),terrain (m2),divisa,price MP,Delegacion,colonia,gym,pool,pet,garage,elevador,terrace,garden
"Sierra Gorda, Lomas de Chapultepec","Calle Sierra gorda, Lomas de Chapultepec, Miguel Hidalgo",/propiedades/sierra-gorda-lomas-de-chapultepec-56702861.html,2.5,2.0,282.0,416.5,1,25.0, Miguel Hidalgo,LomasdeChapultepec,0,0,0,0,0,0,1
Enquentro Residencial Insurgentes Mixcoac,"Patriotismo 883, Insurgentes Mixcoac, Benito Juárez",/propiedades/enquentro-residencial-insurgentes-mixcoac-51407421.html,2.5,2.0,140.5,140.5,1,5.523587, Benito Juárez,InsurgentesMixcoac,1,1,1,1,1,1,1
Sky Tower Lindavista,"Av. Insurgentes Norte. 1346, Lindavista,  Ciudad de México (A lado del Costco Lindavista), Lindavista, Gustavo A. Madero",/propiedades/sky-tower-lindavista-54456938.html,2.0,2.0,79.5,122.0,1,3.21, Gustavo A. Madero,Lindavista,1,0,0,1,0,0,0
Único Coyocán,"Av. Popocatepetl 164,, Narvarte, Benito Juárez",/propiedades/unico-coyocan-52835008.html,2.0,2.0,107.5,107.5,1,3.472, Benito Juárez,Narvarte,0,0,1,0,0,1,1
Departamentos Icon Beyond Gdc,"Blvd. Adolfo López Mateos 1977, San Angel, Alvaro Obregón",/propiedades/departamentos-icon-beyond-gdc-54167334.html,2.0,2.0,129.0,129.0,1,5.045115, Alvaro Obregón,SanAngel,0,0,0,0,0,0,0
10 Departamentos Listos Para Escriturar Muy Iluminados!,"Casas Grandes 149, Narvarte, Benito Juárez",/propiedades/10-departamentos-listos-para-escriturar-muy-56614494.html,2.0,2.0,73.0,83.0,1,3.2, Benito Juárez,Narvarte,0,0,0,1,0,1,1
Hermosos y Amplios Departamentos en Esquina Súper Ubicados!,"Watteau 17, Santa Maria Nonoalco, Benito Juárez",/propiedades/hermosos-y-amplios-departamentos-en-esquina-super-57560899.html,2.0,2.0,80.0,80.0,1,3.975, Benito Juárez,SantaMariaNonoalco,0,0,0,1,0,0,0
Hermoso Departamento Nuevo con Terraza de 30 m² Listo Para Escriturar!,"Casas Grandes 149, Narvarte, Benito Juárez",/propiedades/hermoso-departamento-nuevo-con-terraza-de-30-m-sup2-57595043.html,2.0,2.0,91.0,120.0,1,4.4, Benito Juárez,Narvarte,0,0,0,1,1,1,1
Departamento Exterior con Vista a Las Canchas del Club America!,"El Parque de Coyoacán, Coyoacán",/propiedades/departamento-exterior-con-vista-a-las-canchas-del-club-57717456.html,3.0,2.0,97.0,110.0,1,3.09, Coyoacán,ElParquedeCoyoacán,0,0,0,1,0,0,0
Hermosos y Ubicadisimos Departamentos con Excelentes Amenidades.,"Calle de la Constitución 18, Escandón, Miguel Hidalgo",/propiedades/hermosos-y-ubicadisimos-departamentos-con-excelentes-56953443.html,2.0,2.0,77.0,77.0,1,3.6010000000000004, Miguel Hidalgo,Escandón,1,0,0,0,0,0,0
Hermoso y Gran Departamento con Roof Garden Privado con Acceso Directo!,"Paz Montes de Oca 96, General Pedro Maria Anaya, Benito Juárez",/propiedades/hermoso-y-gran-departamento-con-roof-garden-privado-57713489.html,2.0,2.0,117.0,200.0,1,4.99, Benito Juárez,GeneralPedroMariaAnaya,0,0,0,1,0,0,1
Departamentos Exterior con Roof Garden y Acceso Directo a Precios de Remate!,"Saratoga 605 , Portales, Benito Juárez",/propiedades/departamentos-exterior-con-roof-garden-y-acceso-58226372.html,2.0,2.0,82.0,150.0,1,4.1, Benito Juárez,Portales,0,0,0,1,0,1,1
Hermoso Departamento Recién Remodelado y Súper Ubicado!,"Ures 87, Roma, Cuauhtémoc",/propiedades/hermoso-departamento-recien-remodelado-y-super-57642055.html,2.0,2.0,75.0,90.0,1,2.67, Cuauhtémoc,Roma,0,0,0,0,0,0,0
"Departamentos con Terraza, Balcones o Roof Garden Privados Iluminados y Bodega.","Saratoga 605, Portales, Benito Juárez",/propiedades/departamentos-con-terraza-balcones-o-roof-garden-56052349.html,2.0,2.0,75.0,97.0,1,3.299953, Benito Juárez,Portales,0,1,0,1,0,1,1
"St Regis, Loft Amueblado en Venta o Renta! (Mc)","St Regis, Loft Amueblado en Venta o Renta! (mc), Cuauhtémoc, Cuauhtémoc",/propiedades/st-regis-loft-amueblado-en-venta-o-renta!-mc-58517568.html,1.0,1.0,120.0,120.0,0,25.3, Cuauhtémoc,Cuauhtémoc,1,1,0,1,1,0,0
"Departamento Nuevo con Balcón en Venta The Point, Santa Fe (Mc)","Departamento Nuevo con Balcón  en  Venta   The Point , Santa Fe (mc), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/departamento-nuevo-con-balcon-en-venta-the-point-58475430.html,2.0,2.0,104.0,104.0,1,6.2, Cuajimalpa de Morelos,SantaFeCuajimalpa,1,1,0,1,1,1,0
"Club de Golf Bosques de Santa Fe, Departamento en Venta (Dm)","Club de Golf Bosques de Santa Fe, Departamento en Venta (dm), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/club-de-golf-bosques-de-santa-fe-departamento-en-58474083.html,4.0,4.0,650.0,650.0,0,77.0, Cuajimalpa de Morelos,SantaFeCuajimalpa,0,1,0,1,0,1,0
"Baja Precio, Vidalta, Departamento Venta Exclusiva! (Js)","En Exclusiva Residencial Vidalta, Departamento en Venta (js), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/baja-precio-vidalta-departamento-venta-exclusiva!-58475433.html,3.0,3.0,359.0,359.0,0,29.7, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,1,0
"Departamento en Venta, Ruben Dario, Polanco (Js)","Departamento en Venta, Ruben Dario, Polanco (js), Polanco, Miguel Hidalgo",/propiedades/departamento-en-venta-ruben-dario-polanco-js-58474020.html,3.0,3.0,310.0,310.0,0,59.4, Miguel Hidalgo,Polanco,0,0,0,1,1,1,0
"Polanco, Goldsmith 222 Th 103","Polanco, Goldsmith 222 TH 103, Polanco III Sección, Miguel Hidalgo",/propiedades/polanco-goldsmith-222-th-103-58491701.html,3.0,3.0,183.0,183.0,0,20.5029, Miguel Hidalgo,PolancoIIISección,0,0,0,1,0,1,0
Musset 326,"Alfredo Musset 326, Polanco, Miguel Hidalgo",/propiedades/musset-326-56045986.html,2.5,2.0,294.0,328.0,1,20.098744, Miguel Hidalgo,Polanco,0,0,1,0,0,1,1
Progreso 40,"PROGRESO 40, Escandón, Miguel Hidalgo",/propiedades/progreso-40-57552849.html,2.0,2.0,114.0,161.0,1,4.488, Miguel Hidalgo,Escandón,0,0,0,1,1,1,0
Quo Marina! Super Pre Venta! Adquiere Tu Deoa Ideal con Enganche del 5%!,"Secretaria de Marina 568, Lomas de Vista Hermosa, Cuajimalpa de Morelos",/propiedades/quo-marina!-super-pre-venta!-adquiere-tu-deoa-ideal-58572149.html,2.0,2.0,107.0,107.0,1,3.99, Cuajimalpa de Morelos,LomasdeVistaHermosa,0,0,0,1,0,0,1
Quintana Roo! Gran Pre Venta! en La Mejor Zona de Cdmx!,"Quintana Roo 17, Roma Sur, Cuauhtémoc",/propiedades/quintana-roo!-gran-pre-venta!-en-la-mejor-zona-de-58517954.html,2.5,2.0,139.0,139.0,1,4.747033999999999, Cuauhtémoc,RomaSur,1,0,0,1,0,0,1
"Emerson Garden House Nuevo a La Venta, Col. Polanco (Js)","Emerson Garden House Nuevo a la Venta, Col. Polanco (js), Polanco, Miguel Hidalgo",/propiedades/emerson-garden-house-nuevo-a-la-venta-col.-polanco-58474328.html,2.0,2.0,137.0,137.0,1,20.5, Miguel Hidalgo,Polanco,0,0,0,1,0,1,1
"Calle Musset, Garden House en Venta o Renta (Js)","Calle Musset, Garden House en Venta o Renta (js), Polanco I Sección, Miguel Hidalgo",/propiedades/calle-musset-garden-house-en-venta-o-renta-js-58489203.html,2.0,2.0,186.0,186.0,0,24.2, Miguel Hidalgo,PolancoISección,0,0,0,1,1,1,1
"Polanco, Goldsmith 222 PH 2","Polanco, Goldsmith 222 PH 2, Polanco III Sección, Miguel Hidalgo",/propiedades/polanco-goldsmith-222-ph-2-58491711.html,3.0,3.0,217.0,217.0,0,36.4078, Miguel Hidalgo,PolancoIIISección,0,0,0,1,0,1,0
"B. de Laureles, Depa Remodelado de Lujo en Venta! (Vw)","B. de Laureles, Depa  Remodelado de Lujo en Venta! (vw), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/b.-de-laureles-depa-remodelado-de-lujo-en-venta!-vw-58474170.html,2.0,3.0,285.0,285.0,0,19.8, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,0,0,0,0
"Residencial Citadel Departamento en Venta, Lomas de Vista Hermosa (Vw)","Residencial Citadel Departamento en Venta, Lomas de Vista Hermosa (vw), Lomas de Vista Hermosa, Cuajimalpa de Morelos",/propiedades/residencial-citadel-departamento-en-venta-lomas-de-58492055.html,3.0,3.0,330.0,330.0,0,26.4, Cuajimalpa de Morelos,LomasdeVistaHermosa,1,1,0,1,1,0,0
"Av Tecamachalco en Venta PH con Balcón, Lomas de Chapultepec (Js)","Av Tecamachalco en Venta PH con Balcón, Lomas de Chapultepec (js), Reforma Social, Miguel Hidalgo",/propiedades/av-tecamachalco-en-venta-ph-con-balcon-lomas-de-58474348.html,2.0,2.0,114.0,114.0,1,7.4, Miguel Hidalgo,ReformaSocial,1,1,0,1,1,0,0
"Baja Precio Residencial Lomas Departamento en Venta o Renta, Lomas de Chapultepec (Vw)","Baja Precio!! Res. Lomas Departamento en Venta o Renta, Lomas de Chapultepec  (vw), Lomas de Chapultepec, Miguel Hidalgo",/propiedades/baja-precio-residencial-lomas-departamento-en-venta-o-58517498.html,4.0,3.0,400.0,400.0,0,40.7, Miguel Hidalgo,LomasdeChapultepec,1,1,0,1,1,0,0
"Residencial Punto Reforma, Departamento en Renta, (Dm)","Residencial Punto Reforma, Departamento en Renta o Venta, Lomas de Bezares (dm), Santa Fe, Alvaro Obregón",/propiedades/residencial-punto-reforma-departamento-en-renta-dm-58517625.html,3.0,3.0,190.0,190.0,1,8.5, Alvaro Obregón,SantaFe,1,1,1,1,1,0,0
Exclusiva! Departamento Nuevo en Venta Brezo San Jeronimo (Lg/js),"Exclusiva!! Departamento Nuevo en Venta Brezo San Jeronimo (lg/js), San Jerónimo Lídice, La Magdalena Contreras",/propiedades/exclusiva!-departamento-nuevo-en-venta-brezo-san-58476446.html,2.0,2.0,79.0,79.0,1,4.85, La Magdalena Contreras,SanJerónimoLídice,1,0,0,1,1,1,1
"Polanco, Benito Pérez Departamento Exterior en Venta (Lg)","¡baja Precio! Benito Pérez Departamento Exterior en Venta (lg), Polanco, Miguel Hidalgo",/propiedades/polanco-benito-perez-departamento-exterior-en-venta-58474113.html,3.0,2.0,250.0,250.0,1,11.5, Miguel Hidalgo,Polanco,0,0,0,1,1,0,0
"Bosques de Las Lomas, Torre Altus, Departamento en Venta (Vw)","Bosques de las Lomas, Torre Altus, Departamento en Venta (vw), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/bosques-de-las-lomas-torre-altus-departamento-en-58492116.html,3.0,3.0,600.0,600.0,0,57.2, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,0,0
"Venta Lido Residences Penthouse 401, Col. Polanco","Venta Lido Residences Penthouse 401, Col. Polanco, Polanco, Miguel Hidalgo",/propiedades/venta-lido-residences-penthouse-401-col.-polanco-58475413.html,2.0,2.0,137.0,137.0,1,20.7, Miguel Hidalgo,Polanco,0,0,0,1,0,0,1
"Exclusiva! Bosque de Cidros Departamento en Venta, Bosques de Las Lomas (Js)","Exclusiva !!! Bosque de Cidros  Departamento en Venta , Bosques de las Lomas (js), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/exclusiva!-bosque-de-cidros-departamento-en-venta-58475500.html,3.0,3.0,420.0,420.0,1,13.6, Cuajimalpa de Morelos,BosquesdelasLomas,0,1,0,1,1,1,0
"Polanco, Suderman, en Venta Departamento Nuevo con Terraza (Ed)","Polanco, Suderman, en Venta Departamento Nuevo con Terraza (ed), Polanco, Miguel Hidalgo",/propiedades/polanco-suderman-en-venta-departamento-nuevo-con-58492111.html,3.0,3.0,203.0,203.0,0,23.1, Miguel Hidalgo,Polanco,0,0,0,1,1,1,0
Venta o Renta Lido Residences Nuevo Penthouse 402 Col. Polanco,"Venta O Renta Lido Residences Nuevo Penthouse 402 Col. Polanco, Polanco, Miguel Hidalgo",/propiedades/venta-o-renta-lido-residences-nuevo-penthouse-402-col.-58475426.html,3.0,3.0,152.0,152.0,1,20.95, Miguel Hidalgo,Polanco,0,0,0,1,0,0,1
Pre Venta en Cuauhtemoc 661 Gran Oportunidad Excelente Ubicacion,"Cuauhtemoc 661, Narvarte, Benito Juárez",/propiedades/pre-venta-en-cuauhtemoc-661-gran-oportunidad-excelente-58520644.html,1.5,2.0,87.5,87.5,1,2.99, Benito Juárez,Narvarte,0,0,0,1,0,0,1
Quo Armada! Adquiere Tu Depa con Enganche del 5%!,"Armada de México 52, Lomas de Chamizal, Cuajimilpa, Lomas del Chamizal, Cuajimalpa de Morelos",/propiedades/quo-armada!-adquiere-tu-depa-con-enganche-del-5-!-58524910.html,1.5,2.0,90.5,90.5,1,2.99, Cuajimalpa de Morelos,LomasdelChamizal,1,0,0,1,0,0,0
Departamentos Entrega Inmediata! Tlacotalpan89! Super Ubicación.,"Tlacotalpan 89, Roma Norte, Cuauhtémoc",/propiedades/departamentos-entrega-inmediata!-tlacotalpan89!-super-58651113.html,2.5,2.0,186.5,186.5,1,6.999, Cuauhtémoc,RomaNorte,0,0,0,1,0,1,1
Quo Bosques! Gran Oportunidad! Depas de Entrega Inmediata!,"Navío 6, Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/quo-bosques!-gran-oportunidad!-depas-de-entrega-53692715.html,1.5,2.0,77.5,63.0,1,3.2, Cuajimalpa de Morelos,BosquesdelasLomas,0,0,0,1,0,0,1
"Rio Guadalquivir, Cuauhtemoc Departamento a La Venta en Exclusiva Vw","Rio Guadalquivir, Cuauhtemoc Departamento a la Venta EN Exclusiva VW, Cuauhtémoc, Cuauhtémoc",/propiedades/rio-guadalquivir-cuauhtemoc-departamento-a-la-venta-58476449.html,2.0,2.0,200.0,200.0,1,7.9, Cuauhtémoc,Cuauhtémoc,0,0,0,1,1,1,0
"Baja Precio Residencial Armoni, Departamento en Venta (Vw)","Baja Precio Residencial Armoni, Departamento en Venta(vw), Bosque de las Lomas, Miguel Hidalgo",/propiedades/baja-precio-residencial-armoni-departamento-en-venta-58474163.html,3.0,3.0,300.0,300.0,1,17.2, Miguel Hidalgo,BosquedelasLomas,1,1,0,0,0,1,0
"Jaime Balmes, Departamento en Venta, Polanco (Mc)","Jaime Balmes, Departamento en Venta, Polanco (mc), Polanco, Miguel Hidalgo",/propiedades/jaime-balmes-departamento-en-venta-polanco-mc-58517601.html,3.0,3.0,298.0,298.0,1,15.0, Miguel Hidalgo,Polanco,0,0,0,1,0,0,0
"Departamento en Venta, Priv. de Tamarindos, Bosques de Las Lomas (Js)","Departamento en Venta, Priv. de Tamarindos, Bosques de las Lomas (js), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/departamento-en-venta-priv.-de-tamarindos-bosques-de-58474002.html,3.0,3.0,305.0,305.0,1,16.0, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,0,0
Reforma Sta Fe Excelente Depa en Venta (Dm),"Reforma Sta Fe Excelente Depa en Venta (dm), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/reforma-sta-fe-excelente-depa-en-venta-dm-58474199.html,3.0,3.0,290.0,290.0,1,14.8, Cuajimalpa de Morelos,SantaFeCuajimalpa,1,1,0,1,1,1,0
Residencial Mediterranea Departamento en Venta (Gr),"Residencial Mediterranea Departamento en Venta (gr), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/residencial-mediterranea-departamento-en-venta-gr-58517543.html,3.0,3.0,247.0,247.0,1,13.5, Cuajimalpa de Morelos,SantaFeCuajimalpa,1,1,1,1,0,1,0
Residencial Bosque Alto Departamento con 2 Terrazas a La Venta (Js),"Residencial Bosque Alto Departamento con 2 Terrazas a la Venta (js), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/residencial-bosque-alto-departamento-con-2-terrazas-a-58474546.html,4.0,4.0,500.0,500.0,1,19.0, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,1,0
Paseo de Tamarindos Departamento en Venta Bosques de Las Lomas (Gr),"Paseo de Tamarindos Departamento en Venta   Bosques de las Lomas (gr), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/paseo-de-tamarindos-departamento-en-venta-bosques-de-58517529.html,3.0,3.0,256.0,256.0,1,12.9, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,0,0
Bosque de Tabachines Departamento en Venta o Renta (Ao),"Bosque de Tabachines Departamento en Venta (ao), Bosque de las Lomas, Miguel Hidalgo",/propiedades/bosque-de-tabachines-departamento-en-venta-o-renta-58474537.html,3.0,2.0,260.0,260.0,1,13.5, Miguel Hidalgo,BosquedelasLomas,0,0,0,1,0,0,0
"Calle Proyectiles y Morteros Departamento con Balcón a La Venta, Bosques de Las Lomas (Gr)","Calle Proyectiles  y Morteros Departamento con Balcón a la Venta, Bosques  de las  Lomas (gr), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/calle-proyectiles-y-morteros-departamento-con-balcon-a-58517532.html,2.0,2.0,96.0,96.0,1,3.5, Cuajimalpa de Morelos,BosquesdelasLomas,0,0,0,1,0,0,0
"Venta o Renta, Lido Residences Departamento Col. Polanco.","Venta, Lido Residences Departamento 303 Col. Polanco., Polanco, Miguel Hidalgo",/propiedades/venta-o-renta-lido-residences-departamento-col.-58475403.html,2.0,2.0,137.0,137.0,1,16.9, Miguel Hidalgo,Polanco,0,0,0,1,0,0,1
"Residencial Veramonte Pent House a La Venta o Renta, La Loma Santa Fe (Vw)","Residencial  Veramonte  Pent House  a la Venta o Renta , La Loma Santa Fe (vw), Santa Fe La Loma, Alvaro Obregón",/propiedades/residencial-veramonte-pent-house-a-la-venta-o-renta-58474411.html,3.0,3.0,360.0,360.0,1,30.0, Alvaro Obregón,SantaFeLaLoma,1,1,0,1,1,1,1
"Departamento a La Venta en Polanco, Juan Racine (Dg)","Departamento a la Venta en Polanco, Juan Racine (dn), Polanco, Miguel Hidalgo",/propiedades/departamento-a-la-venta-en-polanco-juan-racine-dg-58474064.html,2.0,2.0,178.0,178.0,1,8.2, Miguel Hidalgo,Polanco,0,0,0,1,1,0,0
"Venta Nuevos Departamentos Exteriores, San Antonio 136 (Lg)","Venta Nuevos Departamentos Exteriores, San Antonio 136 (lg), Ciudad de los Deportes, Benito Juárez",/propiedades/venta-nuevos-departamentos-exteriores-san-antonio-136-58476443.html,2.0,2.0,63.0,63.0,1,3.4730800000000004, Benito Juárez,CiudaddelosDeportes,0,0,0,1,1,0,1
Departamento a La Venta o Renta en Via Santa Fe (Mc),"Departamento a la Venta o Renta en Via Santa Fe (mc), Santa Fe, Alvaro Obregón",/propiedades/departamento-a-la-venta-o-renta-en-via-santa-fe-mc-58474487.html,2.0,2.0,90.0,90.0,1,4.5, Alvaro Obregón,SantaFe,1,0,1,1,0,0,0
"Quo Illinois 39, en La Napoles, Ultimos Tres Departamentos.","Ilinois #39, Napoles, Benito Juárez",/propiedades/quo-illinois-39-en-la-napoles-ultimos-tres-54901048.html,2.0,2.0,67.5,67.5,1,3.9354, Benito Juárez,Napoles,0,0,1,0,0,0,1
Icon San Ángel - Gdc Desarrollos,"Blvd. Adolfo López Mateos 2008, San Angel, Alvaro Obregón",/propiedades/icon-san-angel-gdc-desarrollos-52333472.html,2.5,2.0,146.5,146.5,1,5.107074, Alvaro Obregón,SanAngel,0,0,0,0,0,1,0
Casa Azul,"Manuel Dublan 46, Tacubaya, Miguel Hidalgo",/propiedades/casa-azul-57268993.html,1.5,2.0,109.0,109.0,1,2.68, Miguel Hidalgo,Tacubaya,0,0,1,0,0,0,0
Periferico 180,"BLVD ADOLFO López MATEOS 180 ESQ. CALLE 2, Carola, Alvaro Obregón",/propiedades/periferico-180-50633943.html,2.5,2.0,81.0,81.0,1,2.786175, Alvaro Obregón,Carola,0,0,0,0,0,0,0
Park Pedregal,"Blvd. Adolfo Ruiz Cortines 3580, San Jerónimo Aculco, Alvaro Ogregón, San Jerónimo Aculco, Alvaro Obregón",/propiedades/park-pedregal-58701852.html,2.0,2.0,77.0,107.5,1,3.689717, Alvaro Obregón,SanJerónimoAculco,0,0,0,0,0,0,0
Vertiz 530,"VERTIZ 530, Narvarte, Benito Juárez",/propiedades/vertiz-530-58200379.html,2.0,2.0,111.0,111.0,1,4.17047, Benito Juárez,Narvarte,0,0,1,1,1,1,1
Rosas Moreno 10,"Jose Rosas Moreno 10, San Rafael, Cuauhtémoc",/propiedades/rosas-moreno-10-58201454.html,2.0,2.0,134.0,134.0,1,5.268763, Cuauhtémoc,SanRafael,0,0,0,1,0,0,0
Augusto Rodin 31,"Augusto Rodin 31, Napoles, Benito Juárez",/propiedades/augusto-rodin-31-58202236.html,2.0,2.0,77.0,77.0,1,3.85, Benito Juárez,Napoles,0,0,0,1,1,0,1
Magdalena 466,"magdalena 466, DEL VALLE CENTRO, Del Valle, Benito Juárez",/propiedades/magdalena-466-58202389.html,3.0,2.0,87.0,87.0,1,4.6515, Benito Juárez,DelValle,0,0,1,0,0,0,1
Estrene Último Departamento 3 Recámaras 2 y Medio Baños Estacionamiento,"EMILIANO ZAPATA 64, Portales, Benito Juárez",/propiedades/estrene-ultimo-departamento-3-recamaras-2-y-medio-57017819.html,3.0,2.0,102.0,102.0,1,3.43, Benito Juárez,Portales,0,0,0,1,0,0,0
Nuevo Departamento en Álamos (Sobre Calzada de Tlalpan).,"Alamos, Benito Juárez",/propiedades/nuevo-departamento-en-alamos-sobre-calzada-de-57455757.html,2.0,2.0,78.0,78.0,1,2.65, Benito Juárez,Alamos,0,0,0,1,1,0,0
El Hogar Que Tú Familia Se Merece: 3 Rec 2 Baños 2 Est (Independientes),"Miraflores Portales, Del Valle, Benito Juárez",/propiedades/el-hogar-que-tu-familia-se-merece:-3-rec-2-banos-2-est-58286084.html,3.0,2.0,112.0,85.0,1,3.749999, Benito Juárez,DelValle,0,0,0,1,1,0,1
"Venta Departamento de 2 Rec. Col. Alfonso Xlll en Venta $3,250,000","Giotto 136 col. Alfonso Xlll, Alfonso XIII, Alvaro Obregón",/propiedades/venta-departamento-de-2-rec.-col.-alfonso-xlll-en-55566396.html,2.0,2.0,80.0,80.0,1,3.25, Alvaro Obregón,AlfonsoXIII,0,0,0,1,0,0,0
Iniciamos Preventa en Colonia Postal,"Reembolso, Postal, Benito Juárez",/propiedades/iniciamos-preventa-en-colonia-postal-57363875.html,2.0,2.0,62.0,62.0,1,2.578335, Benito Juárez,Postal,0,0,0,1,0,1,1
El Lujo y Comodidad de Miyana Es Tu Oportunidad! Increíble Departamento en Venta,"Ejército Nacional, Granada, Miguel Hidalgo",/propiedades/el-lujo-y-comodidad-de-miyana-es-tu-oportunidad!-57919050.html,3.0,3.0,178.0,178.0,1,17.0, Miguel Hidalgo,Granada,1,1,1,0,0,0,1
Planta Baja. Portales Venta Seminuevo. Dos Estacionamientos.,"Presidentes, Portales, Benito Juárez",/propiedades/planta-baja.-portales-venta-seminuevo.-dos-57569404.html,2.0,2.0,72.0,72.0,1,2.87, Benito Juárez,Portales,0,0,1,1,1,0,0
Departamento en Venta en Polanco,"Polanco, Miguel Hidalgo",/propiedades/departamento-en-venta-en-polanco-58339727.html,2.0,2.0,164.0,164.0,1,12.495, Miguel Hidalgo,Polanco,0,0,0,0,0,1,0
"Rio Magdalena, Departamento en Venta","Jardines del Pedregal, Alvaro Obregón",/propiedades/rio-magdalena-departamento-en-venta-54996510.html,2.0,3.0,333.0,333.0,1,15.01, Alvaro Obregón,JardinesdelPedregal,0,0,0,1,1,1,0
Departamento Interior de 2 Recámaras a Unos Pasos del Ángel de La Independencia,"Cuauhtémoc, Cuauhtémoc",/propiedades/departamento-interior-de-2-recamaras-a-unos-pasos-del-58708558.html,2.0,2.0,80.0,80.0,1,4.96059, Cuauhtémoc,Cuauhtémoc,0,0,0,1,0,0,1
Comunal - Qaya,"comunal 50, Agrícola Pantitlan, Iztacalco",/propiedades/comunal-qaya-56396690.html,2.0,2.0,52.0,79.5,1,1.354997, Iztacalco,AgrícolaPantitlan,1,0,0,0,0,0,0
Wind Universidad 1943,"Barrio Oxtopulco Universidad, Coyoacán",/propiedades/wind-universidad-1943-52173398.html,2.5,2.0,113.5,169.5,1,5.878984, Coyoacán,BarrioOxtopulcoUniversidad,1,0,0,0,0,0,0
Acanto Ecos del Bosque (10 Min de Santa Fe),"Calz. al Desierto de los Leones 5886, Olivar de los Padres., Olivar de los Padres, Alvaro Obregón",/propiedades/acanto-ecos-del-bosque-10-min-de-santa-fe-53430380.html,3.0,2.0,254.0,254.0,1,9.972337, Alvaro Obregón,OlivardelosPadres,0,1,1,1,0,0,1
Excelente Departamento a Una Cuadra del Circuito Interior,"Vallejo Poniente, Gustavo A. Madero",/propiedades/excelente-departamento-a-una-cuadra-del-circuito-54434455.html,2.0,2.0,82.0,82.0,1,2.2, Gustavo A. Madero,VallejoPoniente,1,0,0,1,0,0,1
"San Isidro, Departamento en Venta","Reforma Social, Miguel Hidalgo",/propiedades/san-isidro-departamento-en-venta-57865180.html,3.0,2.0,193.0,193.0,1,12.0, Miguel Hidalgo,ReformaSocial,1,0,0,1,0,0,0
Oportunidad! Venta Depto. de Lujo - La Loma Santa Fe - Mision Santiago.,"bernardo quintana 80, Santa Fe La Loma, Alvaro Obregón",/propiedades/oportunidad!-venta-depto.-de-lujo-la-loma-santa-fe-57153947.html,3.0,3.0,385.0,385.0,1,25.0, Alvaro Obregón,SantaFeLaLoma,1,1,0,1,0,1,1
Entrega Inmediata 2 Recamaras 2 Baños 1 Estacionamiento.,"Super Ubicado, Portales, Benito Juárez",/propiedades/entrega-inmediata-2-recamaras-2-banos-1-52885814.html,2.0,2.0,60.0,75.0,1,2.859999, Benito Juárez,Portales,0,0,0,1,1,1,1
Plaza Carso: 2 Recamaras Mas Family Room o Tercera,"Lago Zurich 219, Ampliación Granada, Miguel Hidalgo",/propiedades/plaza-carso:-2-recamaras-mas-family-room-o-tercera-56404019.html,2.0,2.0,120.0,120.0,1,9.5, Miguel Hidalgo,AmpliaciónGranada,0,0,0,1,0,0,0
Lindo Departamento en Zona Residencial,"Bosques de Tabachines, Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/lindo-departamento-en-zona-residencial-58284052.html,2.0,2.0,217.0,217.0,1,10.2, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,0,0,0
Espectacular Departamento en Venta en Tres Lagos,"LAGUNA DE MAYRAN 166, Anahuac, Miguel Hidalgo",/propiedades/espectacular-departamento-en-venta-en-tres-lagos-58756506.html,2.0,2.0,62.0,62.0,1,3.3, Miguel Hidalgo,Anahuac,1,1,0,1,0,0,0
Preventa Departamentos de Lujo en Lomas del Pedregal,"Cobalto, Lomas del Pedregal Framboyanes, Tlalpan",/propiedades/preventa-departamentos-de-lujo-en-lomas-del-pedregal-58780133.html,3.0,3.0,275.0,275.0,1,19.157, Tlalpan,LomasdelPedregalFramboyanes,0,0,0,1,0,0,1
Hermoso Departamento en Venta en Polanco,"Polanco, Miguel Hidalgo",/propiedades/hermoso-departamento-en-venta-en-polanco-58072625.html,2.0,2.0,220.0,220.0,0,28.16, Miguel Hidalgo,Polanco,0,0,0,0,1,0,0
