name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos
Hermoso Departamento en Lomas de Chapultepec,"Lomas de Chapultepec, Miguel Hidalgo","Luminoso, abierto y acogedor Departamenlo en Lomas de Chapultepec. A unas cuadras de Palmas y la zona de restaurantes. Con Vigilancia las 24 hrs. 2 Cajones de estacionamiento y facilidad para estacionar auto para visitas. Bodega. 2 Recámaras. La principal con vista al jardín, amplia, con baño y vestidor. 2 Recámara con clóset y posibilidad de ampliarla. Sala y comedor con mucha luz y amplia. Cocina Equipada. Cuarto de Lavado. EasyBroker id: eb-gz6289",/propiedades/hermoso-departamento-en-lomas-de-chapultepec-60659948.html,"USD 450,000",venta,,,,,
Departamento Exterior con Amplio Roof Privado y Acabados de Lujo,"Del Valle Sur, Benito Juárez","Ubicado en Av. Coyoacán a unos pasos del Sanborns Café Parroquia, a 2 calles del Parque Pascual Ortiz Rubio y entre Galerías Insurgentes y Plaza/Patio Universidad. Ubicado en tercer piso. entrega en el 1er trimestre de 2022!! Edificio de 14 departamentos, todos con terraza o roof top privado, amplia recepción con caseta de vigilancia y baño propio. El departamento cuenta con 78 m2 más roof privado de 27 m2: - Sala comedor con acceso a gran balcón. - Cocina con amplia barra de granito y acceso a cuarto de lavado. - 2 recámaras, la principal con balo completo. - 2 baños completos en total. - 2 cajones de estacionamiento. * Bodegas disponibles con precio extra. Interesados contactar en día y horario abierto",/propiedades/departamento-exterior-con-amplio-roof-privado-y-63503301.html,"MN 5,000,000",venta,,,,,
PH de Lujo en Venta o Renta Polanco,"Polanco, Miguel Hidalgo","Departamento con excelente ubicación, con una área Total de. 410 m2 más 20 m2 de terraza, amplia estancia, family. 4 recamaras, 5 Baños, 3 estacionamientos. Elevador directo al departamento. Mantenimientos $ 6000 mnx, no incluido en renta. EasyBroker id: eb-ji6731",/propiedades/ph-de-lujo-en-venta-o-renta-polanco-63064756.html,"MN 28,000,000",venta,,,,,
Hermosos Departamentos en Venta Frente Al Parque Mariscal Sucre Col. del Valle.,"Del Valle Centro, Benito Juárez","Desarrollo de solo 10 departamentos frente al Parque Mariscal Sucre, cuentan con roof garden común, elevador y la vista, orientación e iluminación son de 71 y 80 mts2 que constan de sala/comedor, cocina equipada, area de lavado, 2 recamaras, 1 y 2 baños y 1 y 2 estacionamientos. Cuenta con muy buenas vais de comunicación y servicios. Los estacionamientos son al piso y solo 1 departamento se estorba. Entrega Marzo 2022.",/propiedades/hermosos-departamentos-en-venta-frente-al-parque-63040702.html,"MN 4,030,000",venta,,,,,
Departamento Venta Privada de Tamarindos Residencial Carrimo,"Bosques de las Lomas, Cuajimalpa de Morelos","Precioso departamento a la Venta con muy buenos acabados, en calle muy tranquila cerca del Pantalón, Arcos Bosques y a 5 minutos de Santa Fe. Son 295m con espacios muy amplios. 3 recámaras con baño cada una, family, amplia estancia, cocina grande, baño de visitas, cuarto de servicio y lavado, bodega y 3 lugares de estacionamiento. Cuenta con muy bonitas amenidades como alberca, jardín con juegos, ludoteca, gtm, salón de fiestas, salón de juegos de adultos. El residencial cuenta con estacionamiento de visitas. Vigilancia 24 hrs. EasyBroker id: eb-ht0805",/propiedades/departamento-venta-privada-de-tamarindos-residencial-61479165.html,"MN 14,000,000",venta,,,,,
Departamento en Venta en Lomas de Chapultepec 3 Recámaras,"Lomas de Chapultepec, Miguel Hidalgo","Venta departamento en Monte Elbruz, Lomas de Chapultepec. Excelente ubicación, muy buena iluminación, exterior. 314 m2 3 recámaras 3. 5 bañoscocina desayunador hasta para 8 personas sala estanciacomedor hasta para 10 personas estudioarea de lavado cuarto de servicio con bañoacceso independiente con elevador de servicio 3 cajones de estacionamientovigilancia con portero y circuito cerrado 24 hrs. Ubicado en los límites de Lomas de Chapultepec y Polanco, zona de alta plusvalía, rodeado de todos los servicios, calle tranquila pero bien conectada a principales vialidades como periférico y Reforma. Cercano a Auditorio Nacional, Fuente de Petroleos, Campo Marte, Zona Hotelera Campos Eliseos, y Polanco con toda su oferta de restaurantes, colegios, centros comerciales, zona de boutiques de lujo de av. Mazarik, bares, museos, centros de entretenimiento y espacios culturales. Encuentra más propiedades en Pulppo. com",/propiedades/departamento-en-venta-en-lomas-de-chapultepec-3-64273958.html,"MN 18,500,000",venta,,,,,
Garden con Terraza en Privada de Tamarindos,"Bosques de las Lomas, Cuajimalpa de Morelos","Ven A conocer este super departamento en la privada de tamarindos. En un edificio emblematico de bosques, con las areas comunes muy cuidadas Y un mantenimiento extraordinario. El departamento tiene muy buena luz Y bonita vista, muy bueno teniendo en cuenta que es un garden. Tres recamaras con baño Y vestidor, cada una, la principal es una super suite, con muy buen vestidor Y baño. Venlo A conocer. Te va A encantar. EasyBroker id: eb-is6265",/propiedades/garden-con-terraza-en-privada-de-tamarindos-62452698.html,"MN 13,500,000",venta,,,,,
Polanco Venta Departamento Seminuevo. Precio Promoción,"Polanco, Miguel Hidalgo","Ultimo precio de promoción 11, 300, 000 por tiempo limitado hasta el 15 de julio. Precio sin promoción 12, 000, 000. Precioso departamento en excelente ubicación, seminuevo en el corazón de Polanco, a unos pasos del Parque Lincoln y los mejores restaurantes. A una cuadra de Masarik, a dos minutos de Reforma. Son 150m más terraza y balcón. Cuenta con dos recámaras, la principal enorme, 2. 5 baños, cocina abierta, estancia que da a la terraza, cuarto de servicio y lavado. El edificio cuenta con Gimnasio y Roof Garden común. . Vigilancia 24 hrs. EasyBroker id: eb-jg5649",/propiedades/polanco-venta-departamento-seminuevo.-precio-promocion-62992608.html,"MN 11,300,000",venta,,,,,
Departamento Venta en Parque Reforma,"Lomas de Chapultepec, Miguel Hidalgo","Vive en uno de los residenciales más exclusivos en lomas de Chapultepec. Departamento en sierra vertientes con increíbles vistas arboladas. 2 recamaras más un estudio con probabilidad de una tercera recámara. El cuarto pricnipal cuenta con un walking closet. Family room y oficinas, pantry y cocina equipada. El edificio cuenta con vistas arboladas del bosque, Jardines muy amplios, gimnasio, cancha de paddle. Dos estacionamientos. 2 cuartos de servicio y area para choferes. Cuatro 90, 000 al trimestre que incluye gas y mantenimiento. EasyBroker id: eb-ij6641",/propiedades/departamento-venta-en-parque-reforma-62146569.html,"USD 3,000,000",venta,,,,,
Departamento en Venta en Plaza Carso: 2 Recamaras con Family o Tercera Recamara,"Ampliación Granada, Miguel Hidalgo","Precioso departamento de 121 M2; esquinero, 2 recamaras, Y family room O tercera recamara. 2 baños completos. Baño de visitas. Area de lavado. Amplio salon comedor. Preciosa cocina abierta. Muy luminoso. Acabados de primera calidad. 2 cajones de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Acceso directo al centro comercial. Las vistas y la orientación pueden variar.",/propiedades/departamento-en-venta-en-plaza-carso:-2-recamaras-con-56405877.html,"MN 8,900,000",venta,,,,,
