name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos,toilets,age
Dpto con Terraza Bonita Calle Arbolada,"Zacahuitzco, Benito Juárez","Estilo, Tranquilidad y Privacidad en el corazón de la colonia Zcahuitzco Excelentes vías de acceso y salida, el ambiente de los parques cercanos con su aire fresco que ofrecen las decenas de árboles que enmarcan su entorno. Construido con materiales durables y aplicación de tecnologías estructurales para la seguridad del edificio. Respondiendo a las demandas actuales del mercado, contando con un diseño atractivo y una distribución inmejorable. Cuenta con elevador y áreas comunes, y roof garden con asador y seguridad Privada las 24 horas. Los departamentos constan de 2 recámaras, 2 baños, sala, comedor, cocina (Equipada), Family Room, área de lavado",/propiedades/dpto-con-terraza-bonita-calle-arbolada-64444582.html,"MN 3,195,987",venta,2.0,2.0,74.0,69.0,1.0,,
"Departamento en Venta/renta en División del Norte, Lomas de Memetla","Lomas de Memetla, Cuajimalpa de Morelos","Excelente departamento totalmente remodelado, diseño de interiores de alta gama con acabados de lujo. Cuenta con 155 M2, 3 recámaras, 2 baños completos, cocina integral de lujo, 2 cajones de estacionamiento, bodega muy amplia, cuarto de servicio completo, área de lavado, balcón y sistema de audio y video oculto bose. Cuenta con sistema de ventanas alemanas abatibles y oscilo batientes, térmicas y con cancelación de ruido exterior. Jardín común de 100 M2 aproximadamente, Hidroneumático instalado que solo da servicio al departamento, todos los detalles muy cuidados, listo para disfrutarse! Ven y conócelo!",/propiedades/departamento-en-venta-renta-en-division-del-norte-63677147.html,"MN 5,990,000",venta,3.0,3.0,155.0,,2.0,,
Plaza Carso 3 Recamaras,"Ampliación Granada, Miguel Hidalgo","Muy exclusivo ubicado en Plaza Carso, inmediato a Polanco, Periférico, Ejercito Nacional, Circuito Interior, Lomas de Chapultepec, los mejores Centros Comerciales y Corporativos, Estilo Contemporáneo, precioso departamento, excelente distribución finos acabados en madera, mármol, granito y cerámico, cocina integral abierta con barra de granito, muy iluminado, hermosa vista, amplia área social abierta, 03 recamaras, 02 1/2 baños, 02 estacionamientos, closets empotrados, en la recamara principal precioso y amplio vestidor, Cuarto de Lavado. Amenidades: alberca, gimnasio, salón de eventos, ludoteca, canchas de tenis, jardin, sala de juntas, Acceso directo a Plaza Carso. Vigilancia estricta las 24 horas. Cerca de Antara, supermercados, cines, las mejores tiendas y restaurantes. Se expide recibo fiscal. Excelente zona, céntrica y con acceso a múltiples servicios, comercios, entretenimiento y vías rápidas, acceso controlado. Excelente ubicación inmediato al restaurantes con acceso a múltiples servicios, comercios y lugares públicos, así como a una gran oferta cultural, caminando o en auto. Todos los servicios a la mano. A menos de 10 minutos (caminando): cafés, teatros, cines, club deportivo, farmacias, restaurante/bar, bancos, gasolinera, vigilancia, spa, salones y peluquerías, regalos, agencias automotrices, etc. Cerca de Corporativos, las mejores escuelas y Universidades. Una de las zonas con mayor tradición, historia y plusvalía de la Ciudad de México, segura, y con excelentes opciones para pasear y disfrutar con la familia o amigos.",/propiedades/plaza-carso-3-recamaras-50650544.html,"MN 35,000",venta,3.0,2.0,130.0,130.0,2.0,1.0,
Departamento Exterior con Balcón y Amplios Espacios Listo Para Habitar,"Narvarte Poniente, Benito Juárez","Angel Urraza, departamentos en colonia Narvarte, Benito Juárez. Hemos creado un nuevo concepto de hogar, somos la primer desarrolladora en construir edificios pet friendly donde los departamentos y los espacios comunes están diseñados para la comodidad de las mascotas y sus dueños. Spa para perros, Pet roof garden, Cocina con pet station Almacén de croquetas, Área para platos y bebederos. Espacio para kennel / cama de mascota Perchero para correas y collares. -Seguridad 24hrs. -Portón Electrico. -2 Recamaras. -2 Baños. -Balcón. -1 Cajón de Estacionamiento. interesados contactar en dia Y horario abierto",/propiedades/departamento-exterior-con-balcon-y-amplios-espacios-64390244.html,"MN 3,950,000",venta,2.0,2.0,69.0,69.0,1.0,,
Park Alpes,"Miguel Hidalgo, Ciudad de México","""Desarrollo moderno, exclusivo y elegante con un excelente diseño, acabados de lujo, en un justo equilibrio entre la sobriedad, el diseño de buen gusto, y una cuidadosa selección de materiales. Ubicado en una zona de alta plusvalía y crecimiento, cerca de importantes vías de acceso y servicios como centros comerciales, restaurantes, museos, escuelas, hospitales, entre otros. El desarrollador cuenta con mas de 15 años de experiencia y 32 desarrollos terminados. Los departamentos estan hechos con acabados de calidad, como: Barra de Porcelanato en Cocina, Pisos de Marmol en Baños y Cocina, Madera de Ingenieria en Areas Comunes, Canceles y Luminarias inluidas. El desarrollo cuenta con: Lobby, Seguridad 24 hrs, Carril de Nado, Ludoteca, Gimnasio, Roof Garden, Salon de eventos. Departamentos disponibles de 90 m2, 94 m2 y 109 m2. Contactanos para agendar tu cita, te va a encantar. ""Encuentra más propiedades en Pulppo. com",/propiedades/park-alpes-64150674.html,"MN 5,700,000",venta,2.0,2.0,90.0,90.0,2.0,,
Departamento en Preventa en Escandón,"Escandón I Sección, Miguel Hidalgo","Exclusivo edificio diseñado con un estilo moderno y sofisticado. El desarrollo consta de 3 niveles con 12 departamentos. Cuenta con un área de uso común con jardín y terraza, elevador y. vigilancia. Departamento 102 Cuenta con: características. 2 recámaras. Clósets. Cocina. Comedor. Sala. Estudio. 2 1/2 baños. Área de lavado. Jardín privado. fecha de entrega: febrero 2022. precio de inversión: $ 9, 936, 000. EasyBroker id: eb-iw1424",/propiedades/departamento-en-preventa-en-escandon-62588674.html,"MN 9,936,000",venta,2.0,2.0,160.0,160.0,2.0,1.0,
Gran Departamento Exterior con Espacio Amplios E Iluminados,"Del Valle Sur, Benito Juárez","Gabriel Mancera departamentos en colonia Del Valle, Benito Juárez. 10 exclusivos departamentos 3 Recamaras Sala Comedor 2 Baños Cocina Equipada Área de Lavado Cisterna Balcón Roof Garden Privado Área de Asador Elevador Seguridad 24 Horas Roof Garden Común Acabados de Lujo Ventilación e Iluminación Natural 2 Lugares de Estacionamiento. -Mascotas Permitidas. -Seguridad privada 24hrs. -interesados contactar en dia Y horario abierto",/propiedades/gran-departamento-exterior-con-espacio-amplios-e-64380958.html,"MN 5,325,000",venta,3.0,2.0,114.0,114.0,2.0,,
Dpto Vip 250 m&sup2; 3rec - Venta - Lomas de Bezares - Amplio - Amenidades Lujo,"Lomas de Bezares, Miguel Hidalgo","Departamento - 3 recámaras - 250m² - venta - muebles incluidos - gran oportunidad - Financiamiento disponible. completamente remodelado y modernizado - Acabados de súper lujo. Características: · 3 recámaras amplias con baño completo, principal con vestidor muy grande. · 250m² · Cocina integral. · Sala y comedor con chimenea. · Family grande. · Medio baño de visitas. · Cuarto de servicio con baño. · Área de lavado. · Bodega amplia (+20m²) · 3 estacionamientos. · Madera en puertas de alta calidad y pisos de madera de alta calidad. · Persianas eléctricas en todas las ventanas (control 4) · Paredes de concreto pulido. · Sonido profesional ambiental integrado en todo el departamento. · Muebles de alta calidad, totalmente amueblado. · Cuadros también incluidos en el departamento. Precio de Venta: $14’500, 000 mxn. Predial: $50, 000 mxn. Mantenimiento: $9, 000 mxn. Ubicado en un residencial premium con alta seguridad, y cuenta con las siguientes amenidades: + Alberca volada al área libre con carril de nado y climatizada a 28ºC. + Gimnasio completo con baños, vapor, sauna, regaderas y lockers. + Cancha de pádel. + Amplios jardínes con juegos de niños. + Barranca con bosque. + Asador completo con terraza y mesas. + Salón de eventos muy grande. + Salón de adultos con billar, pókar, ping pong, tele. + Segundo jardín de adultos con espejos de agua y jardines bonitos. + Ludoteca grande para niños pequeños. + Estacionamiento de visitas. + Servicio de valet. + Pista de jogging. Vialidades: + Av. Constituyentes. + Av Paseo de la Reforma. + Carretera libre Mex-Toluca. + Carretera cuota Mex-Toluca. + Cerca de Santa Fe y de las lomas. Servicios cercanos: + Centros comerciales con todos los servicios (Arcos, Lilas, Centro comercial Santa Fe, Duraznos, Samara, Park Plaza, Patio Santa Fe, etc) + Supermercados: Superama, sams, Walmart, Chedraui. + Hospitales: abc. + Escuelas y universidades: Ibero, tec, Regina, Cumbres, Irlandés, Vista Hermosa, etc. + Farmacias: San Pablo, Lilas, etc. + Restaurantes, cines y otros servicios recreativos: Clubes deportivos, centros comerciales con miles de opciones. + Corporativos cercanos: Arcos, Santa Fe, Bosques. + Bancos: Citi, hsbc, bbva, Banorte, Santander, etc. + entre muchos otros servicios",/propiedades/dpto-vip-250-m-sup2--3rec-venta-lomas-de-bezares-63048362.html,"MN 14,500,000",venta,3.0,3.0,250.0,,3.0,1.0,
"Departamento en Venta en Bosques de Las Lomas, Residencial B","Bosques de las Lomas, Cuajimalpa de Morelos","Increible depto todo en madera, terraza en el area de comedor, sala muy iluminada con bar Y family con antecomedor. La cocina es super amplia toda en granito con excelentes espacios de guardado, cuarto de servicio muy amplio. 3 recamaras muy amplias, el cuarto principal tiene su terraza con vista A las montañas, Y un vestidor enorme. El departamento cuenta con alarma en las 2 entradas principales, alarma de deteccion de gas de 2 tipos, proteccion en las escaleras de servicio, doble vidrio en terrazas Y cortinas electricas en el cuarto principal. Es un departamento muy moderno Y fino. Listo para mudarse. Nuestra meta es hacer el match entre la familia y la propiedad. Nos especializamos en la comercialización de propiedades especialmente en la zona poniente de la ciudad de México. EasyBroker id: eb-gf9341",/propiedades/departamento-en-venta-en-bosques-de-las-lomas-62261618.html,"MN 13,000,000",venta,3.0,3.0,350.0,350.0,4.0,1.0,
Oportunidad Dpto a Precio de Preventa!,"Portales Oriente, Benito Juárez","Departamento en venta con excelentes acabados en una de las zonas con más crecimiento, El desarrollo cuenta con vigilancia las 24 horas, elevador y Roof Garden común. 2 recamaras la principal con baño completo y vestidor. 2 baños completos. Sala comedor. Cocina abierta. Área de lavado. Closet de blancos. 1 estacionamiento",/propiedades/oportunidad-dpto-a-precio-de-preventa!-64451254.html,"MN 2,944,000",venta,2.0,2.0,64.0,64.0,1.0,,
"Departamento en Venta en Parques Plaza, Nuevo Polanco 2 Recá","Anáhuac I Sección, Miguel Hidalgo","Increíble Departamento en Venta en Torre C, en Parques Plaza, Nuevo Polanco. Disfruta de estar cerca de zonas como Polanco, Reforma, Condesa y Roma. Con acceso a las principales vialidades como Río San Joaquín, Marina Nacional, Mariano Escobedo y Circuito Interior. Gozarás de 89. 36 mts2 distribuidos en: -2 Recámaras. -1 Estacionamiento. -Terraza 7. 07mts2. amenities: -Centro Comercial en casa. -Coworking. -Zona Pet Friendly. -Sky Lounge. -Terraza. -Juegos Infantiles. -Gym. -Ludoteca. -Gym. Agenda tu cita vip. Precio de inversión: $6'270, 000. *precio sujeto A cambio sin previo aviso. ""Todo pago, depósito y/o cheque en garantía que se emita para realizar el apartado o pago respecto de cualquier inmueble, deberá realizarse única y exclusivamente en las cuentas bancarias de los propietarios. Ninguna inmobiliaria externa podrá recibir en sus cuentas y/o de terceros ningún pago, depósito y o cheque en garantía de ningún tipo. La vigencia de la aceptación de las propuestas tendrán una vigencia únicamente de 10 días naturales”. EasyBroker id: eb-iy0637",/propiedades/departamento-en-venta-en-parques-plaza-nuevo-polanco-62661475.html,"MN 6,270,000",venta,2.0,2.0,89.0,89.0,1.0,,
En Este Depa Te Sentirás Fuera de La Ciudad de México!,"Pueblo Nuevo Bajo, La Magdalena Contreras","En este fraccionamiento te sentirás como si estuvieras en cuernavaca. área verde central muy bonita con palmeras, fuente Y juegos infantiles. El fraccionamiento es un óvalo, así que es visualmente muy abierto. En el jardín central hay una mesa con una pérgola muy A gusto donde puedes ver jugar A tus hijos O bien salirte A leer un libro, tomar un cafecito O simplemente estar al aire libre. Cuenta tambien con un gym Y una alberca techada con chapoteadero Y una zona al aire libre para hacer fiestas O carnes asadas. En fin, es un lugar que bien vale la pena un poco de tráfico para subir Y llegar literal A un paraíso donde te relajarás Y disfrutarás de tu hogar. Cuenta tambien con estacionamiento para visitas Y tiene vigilancia 24 hrs. El departamento consta de 2 recámaras, la principal con vestidor Y baño completo. La secundaria comparte el baño con el área social. Los baños tienen cerámica en muros Y pisos Y canceles de vidrio templado. Al departamento le entra mucha luz natural Y solecito. Cuenta con cocina integral abierta con cubierta de granito Y pared moderna Y metálica para protegerla al momento de cocinar, área de lavado integrada Y área para home office. Tambien tiene aire acondicionado en la recámara principal. Tiene un estacionamiento que no se estorba con nadie Y hay opción para rentar otro espacio. El departamento es exterior. No lo pienses más Y llama ahora! Agenda tu cita al. - 55Ver datos. - 55Ver datos. Aviso de privacidad, así como quejas, sugerencias y más: No incluye el mobiliario mostrado en las fotografías. El precio es más gastos e impuestos de escrituración. EasyBroker id: eb-kr7251",/propiedades/en-este-depa-te-sentiras-fuera-de-la-ciudad-de-mexico!-64346395.html,"MN 3,100,000",venta,2.0,2.0,93.0,93.0,1.0,,
"PH Super Iluminado, 2 Recamaras 1 Estacionamiento","Del Valle Norte, Benito Juárez","Desarrollo en una de las Av. Más importantes de la cdmx. Su ubicación le ofrece a tu familia áreas de recreación como son parques donde pueden convivir, igualmente existen cerca del desarrollo tiendas de auto servicio, restaurantes entre otros. El departamento cuenta con: 2 recamaras. 2 baños completos. Sala comedor. Cocina. Cuarto de lavado. 1 estacionamiento",/propiedades/ph-super-iluminado-2-recamaras-1-estacionamiento-64546096.html,"MN 5,422,750",venta,2.0,2.0,77.0,122.0,1.0,,
Departamentos Nuevos en Venta de 3 Recámaras Letran Valle.,"Letrán Valle, Benito Juárez","El mejor precio y hermoso condominio de solo 10 departamentos con excelentes acabados y muy buena iluminación y orientación, amplia sala/comedor, gran cocina independiente y de muy buena calidad, cubierta de granito, muy buena y amplia tarja, cierre lento, area de lavado, 3 recámaras (carpintería artesanal), 2 baños y 2 estacionamientos que no se estorban con ningún vecino, los departamentos exteriores cuentan con un amplio balcón de 7 mts2, vigilancia 24/7. Muy buena vista y en la parte mas tranquila de Cuauhtemoc. Los mejores servicios en la zona, Plaza comerciales, tiendas de autoservicio, inmejorables vías de comunicación",/propiedades/departamentos-nuevos-en-venta-de-3-recamaras-letran-64017008.html,"MN 4,950,000",venta,3.0,2.0,100.0,100.0,2.0,,
