name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos,toilets,age
Vive Holgadamente Depa del Valle ¿Sabes?: El Espacio Es Lo Q,"Del Valle Norte, Benito Juárez","¿Recuerdas esos departamentos en los años 80 que no se sentían como departamentos sino como verdaderas casas? Con acceso directo a cocina o a sala comedor, Adolfo Prieto es la mejor opción cuando privilegias espacios amplios. Tres Recámaras y 2 baños completos. En Primer Piso. Muy templado, orientación sur y poniente ¡En Esquina!. EasyBroker id: eb-kh0546",/propiedades/vive-holgadamente-depa-del-valle-sabes-:-el-espacio-63934914.html,"MN 7,190,000",venta,3.0,2.0,250.0,250.0,1.0,1.0,
Pent House Interior de Vanguardia Listo Para Estrenar con Amplios Espacios,"Del Valle Centro, Benito Juárez","Departamentos que se adaptan a tu estilo de vida, conoce Adolfo Prieto ubicado en la. Colonia Del Valle Centro, está cerca de vías principales como Insurgentes Sur y Félix. Cuevas, cerca del parque Hundido, centros comerciales, tiendas de autoservicio y zona. de restaurantes. Encuentra el departamento que mejor se adapta a tus necesidades, conoce las. características y la variedad de opciones que se tiene para ti. Agenda una cita con nosotros para conocer este hermoso desarrollo.",/propiedades/pent-house-interior-de-vanguardia-listo-para-estrenar-64356488.html,"MN 8,750,000",venta,3.0,3.0,221.0,221.0,2.0,1.0,
"Enrique Gonzalez Martinez 250,pent - House 303","Santa María la Ribera, Cuauhtémoc","Estilo, Tranquilidad, en una de las mejores zonas de santa maria la ribera, 12 exclusivos departamentos, 3 niveles con 4 departamentos por piso, departamento de 85. 7m2 mas 53. 2m2 de roof garden privado. 3 recamaras, vestidor en recamara principal con baño completo, total 2 baños en el departamento, sala, comedor, cocina equipada, cuarto de lavado, elevador, área común, Terrazas en departamentos, balcón en departamentos exteriores, Roof Garden privado, 2 lugares de estacionamiento, vigilancia 24hrs.",/propiedades/enrique-gonzalez-martinez-250-pent-house-303-62915097.html,"MN 4,787,806",venta,3.0,2.0,86.0,,2.0,,
Departamentos Nuevos en Venta en La Nápoles,"Nápoles, Benito Juárez","Desarrollo de solo 11 departamentos de 62 y 64 mts2, excelente iluminación, muy bien iluminados, a solo 3 calles de wtc, las mejores vias de comunicación, contamos con departamentos con roof graden privado de 64 mts2 desde $4’405 mil 2 estacionamientos, sala/comedor, cocina equipada, area de lavado, 2 recamaras, 2 baños 1 y 2 estacionamientos, el barrio de la Napoles tiene los mejores servicios: 3 Superama’s, cines, centros comerciales Dakota 95 y Plaza Metropolis, ademas es un barrio muy caminable y seguro.",/propiedades/departamentos-nuevos-en-venta-en-la-napoles-61363513.html,"MN 3,623,490",venta,2.0,2.0,62.0,62.0,1.0,,
"Estupendo Departamento en Venta, con Balcon, Polanco","Polanco, Miguel Hidalgo","Precioso dep. En excelente estado de conservación con balcón largo. Son 225m 3 recámaras amplias, la principal con baño y vestidor grandes, las otras dos con closet amplio. 2 baños completos. La segunda recámara con entrada directa al baño que también da servicio a la tercera recámara con otra entrada. Cocina grande con granito, family, estudio, sala y comedor. Cuarto de servicio y lavado. 2 lugares de estacionamiento fijos y lugar para bicicletas. Edificio remodelado en excelente estado. Vigilancia 24hrs. Muy funcional. Conócelo! Oportunidad!!. EasyBroker id: eb-ha4427",/propiedades/estupendo-departamento-en-venta-con-balcon-polanco-60692040.html,"MN 11,000,000",venta,3.0,2.0,225.0,225.0,2.0,,
"Departamento en Venta, Col. Progreso Tizapan","Progreso Tizapán, Alvaro Obregón","Moderno departamento tipo Garden House ubicado en Tizapán. Este departamento consta de 2 recámaras muy amplias con baño (ambas recámaras con vista a una terraza que los comunica), cocina integral abierta, grande estancia para sala comedor muy iluminada ya que tiene vista al jardín privado de 22 m2, 2 cajones de estacionamiento y cuarto de servicio/ bodega. Cuenta con seguridad 24 hrs, gym y roof garden común.",/propiedades/departamento-en-venta-col.-progreso-tizapan-64231494.html,"MN 4,990,000",venta,2.0,3.0,98.0,,2.0,,
Pent House en Venta - Polanco III Sección,"Polanco, Miguel Hidalgo","Hermoso y lujoso Pent House 1, ubicado en el corazon de Polanco, con 374 m2 de superficie, cuenta con 3 recamaras, 4 baños y medio, lavanderia, 1 cuarto de servicio, Terraza en nivel Principal, Roof Garden Privado, 4ta recamara opcional, 2 lugares de estacionamiento, Balcon, family room, cocina, sala y comedor. Fachada: Marmol Travertino SilverBaños: Marmol Blanco VolakasCarpinterias: Madera Natural de Encino con chapa de NogalPisos interiores: Granito Negro Basaltico y Granito Gris Pisos de recamaras: Duela de ingenieria, Mario Clemente Barrique EspecialFachadas interiores: Concreto enduelado aparente em fachadas interiores y muros estructurales. tecnologicos: Sistema inteligente de camaras de seguridadCableado estructuralElevador con acceso exclusivoPlanta de luz en areas comunes y privadasVoz y datosInstalacion para coches electricos en estacionamientoDiseño e iluminacion ledseguridad Certeza en suministro de energiaConexion seguraVision del futuroEficiencia de energia e iluminacionAprovechamiento de agua pluvialPlataforma para minusvalidos. fortalezas: Totalmente terminada con acabados de primera calidad. Balcones y terrazas con areas verdesEdificio InteligenteAmplio frente en una calle de un sentidoAccesos mediante dispositivos electronicosEstacionamiento de facil maniobraLa mejor ubicacion de PolancoBajo mantenimientoFeng-ShuiEstructura antisismicaAltura de piso a plafon 2, 75 mtsPuertas electricas en el garageEdificio adaptado al futuro. que incluye tu residencia: Entrega 100% terminada con acabados de alta calidadBalcones y terrazas con areas verdesEficiencia termica y acusticaCajones con doble altura para eleva-autosBodega en sotanoVentilacion naturalVigilancia 24/ 7 /365Cuarto de servicio y area de lavadoRack de bicicletasSistema de audio IntegradoAutomatizacion de iluminacion. ubicacion Y puntos de interes: Parques, centros comerciales, exclusivas tiendas, escuelas, corporativos, hospitales y todo tu estilo de vida esta a tan solo unos pasos de Musset 326. Palacio de Hierro, Plaza Antara, Miyana, Hospital Español, Museo Soumaya, Museo Jumex, Plaza Carso, Parroquia San Agustin. Encuentra más propiedades en Pulppo. com",/propiedades/pent-house-en-venta-polanco-iii-seccion-63708313.html,"MN 35,748,577",venta,3.0,4.0,210.0,415.0,2.0,,
Bosques de Las Lomas Privada del Bosque Departamento Para Remodelar en Venta (Gr),"Bosques de las Lomas, Cuajimalpa de Morelos","¡baja precio de $10'300, 000 A $9'400, 000 mn! Bosques de las Lomas, Privada del Bosque departamento a la venta, para remodelar (gr). Cuenta con 240 mts, estancia muy amplia, cocina integral con despensa, 3 recámaras cada una con baño, sala de tv, cuarto de lavado y servicio, bodega, mantenimiento $9000 pesos, 3 elevadores, 3 estacionamientos. Áreas comunes: alberca techada ludoteca salón de fiestas jardín para mascotas, jardín con juegos infantiles, valet parking para visitas, salón de fiestas. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/bosques-de-las-lomas-privada-del-bosque-departamento-64512712.html,"MN 9,400,000",venta,3.0,3.0,240.0,240.0,3.0,1.0,
Venta PH en Condesa,"Hipódromo Condesa, Cuauhtémoc","Vive en el corazón de hipódromo condesa, ph en dos plantas con terraza. Lleno de luz. Departamento construido hace 4 años, con impecable gusto y todas las comodidades. Cuenta con un roof garden con area de lavado y cocina. Todo el departamento tiene grandes ventanas que dan iluminación natural. Tres recamaras con baño completo. Cuanta con un estudio con baño completo que podría ser una cuarta recamara. Circuito cerrado y vigilancia las 24 horas. EasyBroker id: eb-it6809",/propiedades/venta-ph-en-condesa-62488862.html,"MN 15,750,000",venta,4.0,4.0,240.0,240.0,2.0,1.0,
PH Nuevo Para Estrenar,"Polanco, Miguel Hidalgo","Desarollo de 7 departamentos. ph 350 metros 2 terrazas, roof garden personal. 3 recamaras. sala comedor family room. cocina integral y baños de mármol. Dos grandes terrazas con chimenea. Se entrega en obra blanca para terminar al gusto. depto 2 $1455, 084 usd. garden house. 3 cuartos. sala comedor con salida a una gran terraza. Proyecto del arquitecto Juan Graduño",/propiedades/ph-nuevo-para-estrenar-61171710.html,"USD 2,271,529",venta,3.0,3.0,350.0,280.0,4.0,1.0,
"Departamento en Venta Amores 32 ""Unico del Valle"" Col del","Del Valle Centro, Benito Juárez","Con excelente conectividad, estrena precioso departamento interior en ""unico del valle"", diseño vanguardista, con alturas de 2. 90 mts, acabados de super lujo, con terraza de 6mts aprox. , en el complejo con mayor plusvalía en la zona, solo 25 departamentos, elevador, encantadoras amenidades; gimnasio equipado con hermosa vista, ademas en roof Garden con vista panorámica, pb salón para fiestas con jardín, cocina equipada, baños para caballeros y damas, unico cuenta con estricta vigilancia las 24hrs, Acogedora sala comedor con pisos en. madera de alta ingenieria grandes ventanales de techo a piso, cocina con cubierta de granito, 2 y recamaras la principal con vestidor con madera, 2 baños completos en acabados de mármol tipo Carrara, 2 estacionamientos cubiertos en S2 Ver datos. Tomar elevador 2 y lleva a piso 3. EasyBroker id: eb-jt6049",/propiedades/departamento-en-venta-amores-32-unico-del-valle-col-63458031.html,"MN 5,200,000",venta,2.0,2.0,94.0,94.0,2.0,,
"Gabriel Mancera #1256, Departamento 402","Narvarte Oriente, Benito Juárez","Estilo, Tranquilidad, en una de las mejores zonas de la del vale, 10 exclusivos departamentos, 5 niveles con 2 departamentos por piso, departamento de 116. 7m2. 3 recamaras, vestidor en recamara principal con baño completo, total 2 baños en el departamento, sala, comedor, cocina equipada, cuarto de lavado, elevador, área común, balcón en departamentos exteriores, 2 lugares de estacionamiento, vigilancia 24hrs.",/propiedades/gabriel-mancera-1256-departamento-402-62915414.html,"MN 5,388,739",venta,3.0,2.0,116.0,,2.0,,
"Nuevo Departamento Gardenhouse con Terraza o Jardín Privada en Galileo, Polanco","Polanco, Miguel Hidalgo","Edificio moderno vanguardista en la calle tranquila de galileo en el corazón de polanco entre homero Y horacio, siempre hay parquimetros disponibles. En venta departamento nuevo en obra blanca, tipo garden house de lujo con terraza O jardín de 26. 73M2. Se encuentra en el nivel garden. Se entrega con cocina super equipada con granito Y madera, luminaria Y pisos en cocina, lavanderia, cuarto de servicio Y baños, sala-comedor Y recámaras para decorar al gusto. Hermosa jardinera en la sala-comedor. Las 2 recámaras con baño completo con acabados de lujo, ambas con vestidor, amplio family room O cuarto de tv, baño de visitas, área de la lavado, cuarto de servicio con baño completo Y dos lugares de estacionamiento, el condominio cuenta con: lobby Y seguridad las 24 horas con circuito cerrado, asi como un área comun de jardineras Y bancas. Encuentra más propiedades en Pulppo. com",/propiedades/nuevo-departamento-gardenhouse-con-terraza-o-jardin-63919600.html,"MN 17,500,000",venta,2.0,2.0,180.0,207.0,2.0,,
Departamento en Venta en Santa Fe Cuajimalpa,"Santa Fe Cuajimalpa, Cuajimalpa de Morelos","Departamento en Venta en Santa Fe. Departamento en Venta en Rayo Vende Inmobiliaria. Hermoso departamento con espectaculares vistas. Vista panorámica, frente al parque la mexicana, prácticamente a unos pasos. • 3 recámaras c/u con vestidor, la principal con baño. • En total 3. 5 baños. • Cuarto de servicio con baño. • Área de lavado. • Amplia estancia. • 3 lugares de estacionamiento. • Cocina equipada. • Clóset de blancos. • Bodega. • Amenidades: alberca semi techada, spa, gimnasio, salón de jóvenes, juegos infantiles, ludoteca, asadores, business center. Cerca de restaurantes, oficinas y parques. ¡Listo para estrenar departamento con Rayo Vende Inmobiliaria! ¡Hazlo tuyo, invierte y estrena!, tenemos más de 40 años de experiencia, te asesoramos en todo el proceso de compra con Seguridad, Honestidad y Transparencia. ¡Contáctanos hoy mismo! (55) Ver datos. Ver datos. EasyBroker id: eb-if1739",/propiedades/departamento-en-venta-en-santa-fe-cuajimalpa-62515200.html,"MN 11,800,000",venta,3.0,3.0,180.0,180.0,3.0,,
Departamento en Napoles,"Nápoles, Benito Juárez","Hermoso departamento en Venta en la Colonia Nápoles, se entrego hace un año cuenta con todos los servicios pagados, cerca de parques. Balcón en recamara y Sala comedor, 2 recamaras, 2 baños, 2 estacionamientos y elevador con seguridad 24hrs. Closets y Vestidor. Ubicado en el segundo piso. Es una de las zonas con mayor crecimiento comercial y empresarial de la Ciudad, dentro de la alcaldía Benito Juárez en la Colonia Nápoles, sigue conservando la esencia de sus inicios: un espacio tranquilo, confortable y lleno de opciones gastronómicas. Además, la excelente ubicación y conectividad con avenidas como Insurgentes, Viaducto y Patriotismo te permiten trasladarte como más te convenga.",/propiedades/departamento-en-napoles-64480962.html,"MN 4,600,000",venta,2.0,2.0,65.0,,2.0,,
PH con Acceso Directo a Roof Excelentes Acabados,"Zacahuitzco, Benito Juárez","Hermoso ph con excelentes acabados. ph de 77m2 habitables, en unas de las colonias mas prósperas en la ciudad de México en la colonia Zacahuizco, Portales sur, cuenta con: 2 Recamaras. Sala comedor. cocina semi abierta. Área de lavado. 2 baños completos. 2 cajones de estacionamiento. Roof Garden privado de 58m2",/propiedades/ph-con-acceso-directo-a-roof-excelentes-acabados-64132855.html,"MN 4,389,963",venta,2.0,2.0,77.0,135.0,2.0,,
Garden House de Vanguardia con Gran Terraza Al Mejor Precio de Preventa,"Nápoles, Benito Juárez","Augusto rodin. La arquitectura de Augusto Rodin tiene la inquietud de crear un carácter propio, que. se sienta parte de su entorno y en cuyo interior se crean espacios con gran iluminación. natural que hacen experimentar una sensación agradable, acompañada de una intimidad. especial en la que el usuario podrá vivir viendo hacia el exterior. Acabados de lujo y amenidades como Roof Garden común y privado, lobby, bodega y. terrazas privadas elevador y seguridad 24hrs. 88m2 totales. Mascotas pequeñas. seguridad. interesados contactar en dia Y horario abierto",/propiedades/garden-house-de-vanguardia-con-gran-terraza-al-mejor-64356835.html,"MN 4,800,000",venta,2.0,2.0,88.0,88.0,1.0,,
Hermoso Departamento en Lomas de Chapultepec,"Lomas de Chapultepec, Miguel Hidalgo","Luminoso, abierto y acogedor Departamenlo en Lomas de Chapultepec. A unas cuadras de Palmas y la zona de restaurantes. Con Vigilancia las 24 hrs. 2 Cajones de estacionamiento y facilidad para estacionar auto para visitas. Bodega. 2 Recámaras. La principal con vista al jardín, amplia, con baño y vestidor. 2 Recámara con clóset y posibilidad de ampliarla. Sala y comedor con mucha luz y amplia. Cocina Equipada. Cuarto de Lavado. EasyBroker id: eb-gz6289",/propiedades/hermoso-departamento-en-lomas-de-chapultepec-60659948.html,"USD 450,000",venta,2.0,2.0,170.0,170.0,2.0,1.0,
"Departamento en Venta, Col. Bosque de Chapultepec/polanco","Bosques de Chapultepec, Miguel Hidalgo","Hermoso departamento en Rubén Darío, col. Polanco/ Bosque de Chapultepec. Solo es un departamento por piso con elevador privado directo al piso, Consta de 280 m2 que se distribuyen en 3 recámaras amplias y bastante iluminadas, 2 de las recamaras cada una con baño completo, y la otra recamara comparte baño completo con el de visitas, estancia bastante grande e iluminada para sala-comedor, cocina cerrada y bastante amplia, área de family y/o tv, cuarto de servicio completo y 2 cajones de estacionamiento. Es un departamento para actualizar, con excelente vista al bosque de Chapultepec.",/propiedades/departamento-en-venta-col.-bosque-de-64229867.html,"MN 25,500,000",venta,3.0,3.0,280.0,,2.0,,
Departamento Remodelado Calle Cerrada Colinas del Sur,"Colina del Sur, Alvaro Obregón","Magnifico departamento remodelado en calle cerrada con acceso controlado, acabados de lujo. Cuenta con sala-comedor, cocina, dos recámaras (principal con baño y vestidor) la otra recámara cuenta con closet, baño completo, área de lavado, dos lugares de estacionamiento. Excelentes vias de acceso, supermercados, bancos, escuelas, hospitales y centros comerciales muy cercanos. Gran oportunidad.",/propiedades/departamento-remodelado-calle-cerrada-colinas-del-sur-63512017.html,"MN 2,820,000",venta,3.0,2.0,105.0,110.0,2.0,,
Estrena Excelente Departamento con Terraza y Amplios Espacios,"Del Valle Sur, Benito Juárez","Col del Valle, departamentos en colonia Del Valle, Benito Juárez. Exclusivo desarrollo, ubicado en la Colonia del Valle, cuenta con 9 departamentos de lujo en condominio vertical, seguridad 24hrs, acabados de lujo totalmente terminados; Roof Garden privados y terrazas. El inmueble que tanto estabas buscando, Vive como siempre soñaste. Mascotas Pequeñas y Medianas. Seguridad Privada 24 hrs. interesados contactar en dia Y horario abierto",/propiedades/estrena-excelente-departamento-con-terraza-y-amplios-64392026.html,"MN 5,950,800",venta,2.0,2.0,89.0,89.0,1.0,1.0,
Departamento en Venta en Bosque de Las Lomas en Calle Cídros,"Bosques de las Lomas, Cuajimalpa de Morelos","Increible ubicacion en bosque de cidros, calle cerrada solo con transito local, edificio de solo 6 departamentos, mucha privacidad, ya que es un depto por piso Y el elevador llega directo al departamento. El depto fue remodelado apenas hace 3 años, todos los pisos son de madera de ingenieria, en el area social esta el comedor Y la sala con salida A una gran terraza, donde puede uno tener una mesa, un asador Y aun hay espacio para mas mobiliario. Ventanales de piso A techo, lo que deja pasar mucha luz Y entra muy bien el sol. Techos muy altos por lo que da la sensacion de mucha amplitud, area de family con parte abierta hacia el area social, baños nuevos en marmol Y incluyendo canceles. La recamara principal es muy amplia Y tiene salida A la gran terraza tambien, tiene su baño Y buen vestidor. La segunda recamara cuenta con salida A un gran patio, baño Y closet. La tercera recamara tambien de un tamaño muy amplio con su baño Y closet. La cocina es nueva de cocinas olimpic, en cuarzo cepillado Y piso tipo marmol, el antecomedor esta junto A la cocina. Area de lavado Y cuarto de servicio. El edificio solo cuenta con salon de fiestas Y seguridad 24hrs. mantenimiento mensual $6, 000mnnuestra meta es hacer el match entre la familia y la propiedad. Nos especializamos en la comercialización de propiedades especialmente en la zona poniente de la ciudad de México. EasyBroker id: eb-gf9329",/propiedades/departamento-en-venta-en-bosque-de-las-lomas-en-calle-59896947.html,"MN 11,000,000",venta,3.0,3.0,253.0,253.0,4.0,1.0,
"Bengala 11, Departamento 302","Portales Norte, Benito Juárez","Estilo, Tranquilidad, en una de las mejores zonas de portales, 16 exclusivos departamentos, 4 niveles con 4 departamentos por piso, departamentos desde 71. 3m2. 2 recamaras, vestidor en recamara principal con baño completo, total 2 baños en el departamento, sala, comedor, cocina equipada, cuarto de lavado, elevador, área común, 1 lugares de estacionamiento, vigilancia 24hrs.",/propiedades/bengala-11-departamento-302-62881998.html,"MN 3,285,772",venta,2.0,2.0,72.0,,1.0,,
"Lomas de Chapultepec, Departamento a La Venta en Monte Chimborazo, Excelente Ubicación (Gr)","Lomas de Chapultepec, Miguel Hidalgo","Lomas de Chapultepec departamento a la venta en Monte Chimborazo, excelente ubicación (gr). Cuenta con 271 mts. , estancia muy amplia con salida al balcón, mas gran terraza de 28 mts. Con asador, cocina completamente remodelada, sala de tv, 3 recámaras, 2 baños, oficina, cuarto de servicio, mantenimiento $4, 500 mn, 2 estacionamientos. Muy Iluminado y calientito. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/lomas-de-chapultepec-departamento-a-la-venta-en-monte-64512722.html,"MN 13,000,000",venta,3.0,2.0,271.0,299.0,2.0,,
"Depto. Venta, Be Grand Alto Pedregal, Bodega y Terraza","Pedregal de Carrasco, Coyoacán","Mgg, pgh. Para quienes gustan de la exclusividad y privilegios, tu momento es ahora, amplio departamento con vista panorámica y balcón tipo terraza, en el Residencial Fraccionamiento be grand alto pedregal. Con 124 m2 de área, en Torre A piso 19, muy iluminado, con finos acabados, Sala Comedor con balcón tipo terraza, Cocina Integral, 2 Recámaras con clósets, la principal con vestidor, baño completo y balcón, Family Room u opción de 3a recamara, 1 Baño completo con cancel, de uso común para el depto. , Clóset de lavado, Incluye Persianas, en las recamaras son con black out y malla, en la estancia solo malla, piso de loseta cerámica en todo el depto. 2 estacionamientos independientes, evitando las complicaciones de coordinarse con los vecinos, en el nivel E5 y una muy útil Bodega. Cuenta con vigilancia las 24 hrs, Elevador, Estacionamiento para visitas y bicicletas, Increíbles amenities en las que podras vivir experiencias únicas que garantizan tu comodidad y estilo: Alberca, Pet's Área, Business Center, Gimnasio, Jardínes, Kid's Club, Sport's Bar, Salones para Eventos, Spa con Vapor, Cabinas de Masaje, etc. Residencial Fraccionamiento be grand alto pedregal; es un proyecto vanguardista, de dos torres de departamentos donde se mezclan un mundo de comodidades llenas de lujo y originalidad para que experimentes todo lo que siempre has querido vivir. Ubicación privilegida sobre Periférico Sur, A 5 Min de Perisur, Cerca de importantes vías de acceso, ¡ no dejes que te lo ganen, te encantara!. EasyBroker id: eb-km1630",/propiedades/depto.-venta-be-grand-alto-pedregal-bodega-y-terraza-64122459.html,"MN 5,795,000",venta,3.0,2.0,127.0,127.0,2.0,,
Departamento en Venta en Polanco III Secc 3 Recámaras,"Polanco, Miguel Hidalgo","Departamento a estrenar de 151 m2 + 75 m2 de Terraza. 3 Recamaras, estancia comedor, family room, area de servicio, ( cuarto, baño y patio). Cocina Integral con equipo importado en acero inoxidable, medio baño para visitas, acabados de lujo en baños, carpinteria y cocina, pisos de madera de ingenieria, persianas en todos los espacios, 2 cajones de estacionamiento independientesy una bodega de 5 m2. Encuentra más propiedades en Pulppo. com",/propiedades/departamento-en-venta-en-polanco-iii-secc-3-recamaras-63964214.html,"MN 21,800,000",venta,3.0,3.0,151.0,226.0,2.0,,
En Venta Departamento Amueblado de Lujo en Residencial Vidalta Torre Altaire II (Ss),"Bosques de las Lomas, Cuajimalpa de Morelos","En venta lujoso y elegante departamento amueblado en Residencial Vidalta Torre Altaire ii (ss). Cuenta con 355 m2 habitables + 27 m2 de Terraza con una vista espectacular, estancia muy amplia, cocina italiana, walk in pantry, pantry para vajillas y para cristalería, 3 recamaras con baño y vestidor, oficina y family. Cuarto de lavado y servicio con baño, cuota de mantenimiento $22, 000 mn. Que incluye tarjeta de consumo en restaurantes o spa por $2, 000 mn. , bodega y 3 lugares de estacionamiento. &nbsp;Decorado por renombrada decoradora, mármol en baños con muebles italianos, pisos de madera, iluminación con lamparas italianas en todo el departamento, ventanales de piso a techo Duo Vent con sistema anti-ruido. Incluye el 90% de los muebles que son de diseñador e importados de Europa. Todas las puertas y acabados son de madera maciza hechos por ebanista. La mejor orientación de la zona. &nbsp;Exclusivas áreas comunes: Therma Spa Vidalta con sus 2, 200 m2 equipado con tecnología&nbsp;alemana klafs con sauna, vapor, tina de hidromasaje, alberca exterior e interior, jacuzzi. Áreas verdes con juegos infantiles, espejos de agua, cascadas, puentes, kioskos, sendero para jogging y ciclismo, cafetería exterior, restaurante de cocina gourmet internacional, sports bar, sushi bar, salón para jóvenes, salón para adultos, salones de juntas o coworking, gimnasio de 1000 m2 con equipos de última generación con ring para clases de box, kick boxing, power circuito, cardio, zumba, spinning, gimnasia reductiva, natación, yoga, pilates, ballet, cancha de paddel, cancha de soccer, cine, salón de fiestas con cabina y equipo para dj, asadores, jardin para mascotas, alta seguridad, concierge personalizado, bell boy, valet parking, tintorería, room service, paradero escolar interno, transporte interno mediante carros eléctricos y acceso por el puente. &nbsp; ¡Vive en un lugar donde el lujo estimula los sentidos y eleva la mente a una experiencia etérea!. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/en-venta-departamento-amueblado-de-lujo-en-residencial-64512759.html,"USD 1,650,000",venta,3.0,3.0,355.0,382.0,3.0,1.0,
Departamento en Venta con Terraza Bosques de Las Lomas Resid,"Bosques de las Lomas, Cuajimalpa de Morelos","Oportunidad!! Baja de Precio. Departamento en Venta en Residencial Carrimon con terraza con espacios amplios e iluminado, cerca de El Pantalón y Arcos Bosques. Son 319m, 3 recámaras con vestidor y baño, family, antecomedor, amplia estancia que da a la terraza, cuarto de servicio y lavado, 3 lugares de estacionamiento, bodega. Muy bonitas amenidades como alberca, spa, amplio jardín, gym, ludoteca, salón de juegos de adultos, salón de fiestas. Estacionamiento de visitas y vigilancia 24 hrs. Se escuchan ofertas!!. EasyBroker id: eb-hs3442",/propiedades/departamento-en-venta-con-terraza-bosques-de-las-lomas-61451097.html,"MN 12,200,000",venta,3.0,3.0,319.0,319.0,3.0,1.0,
"Suiza 37, Pent - House 404","Portales Norte, Benito Juárez","Estilo, Tranquilidad, en una de las mejores zonas de portales oriente, 16 exclusivos departamentos, 4 niveles con 4 departamentos por piso, departamento de 68m2 y Roof Garden Privado 47. 1m2. 2 recamaras, vestidor en recamara principal con baño completo, total 2 baños en el departamento, sala, comedor, cocina equipada, cuarto de lavado, elevador, área común, 2 lugare de estacionamiento, vigilancia 24hrs.",/propiedades/suiza-37-pent-house-404-62881889.html,"MN 4,310,368",venta,2.0,2.0,68.0,,2.0,,
Plaza Carso 2 Recamaras,"Ampliación Granada, Miguel Hidalgo","Muy exclusivo ubicado en Plaza Carso, Torre Monet, Amueblado y Equipado de Super Lujo, inmediato a Polanco, Periférico, Ejercito Nacional, Circuito Interior, Lomas de Chapultepec, los mejores Centros Comerciales y Corporativos, Estilo Contemporáneo, impecable, precioso departamento, excelente distribución finos acabados en madera, mármol, granito y cerámico, cocina integral abierta con barra de granito, muy iluminado, hermosa vista, enorme área social abierta, 02 recamaras, 02 1/2 baños, 02 estacionamientos, closets empotrados, en la recamara principal precioso y amplio vestidor, Cuarto de Lavado. Amenidades: alberca, gimnasio, salón de eventos, ludoteca, canchas de tenis, jardin, sala de juntas, Acceso directo a Plaza Carso. Vigilancia estricta las 24 horas. Cerca de Antara, supermercados, cines, las mejores tiendas y restaurantes. Todo! Véalo!! El mantenimiento es de $3000. Excelente zona, céntrica y con acceso a múltiples servicios, comercios, entretenimiento y vías rápidas, acceso controlado. Excelente ubicación inmediato al restaurantes con acceso a múltiples servicios, comercios y lugares públicos, así como a una gran oferta cultural, caminando o en auto. Todos los servicios a la mano. A menos de 10 minutos (caminando): cafés, teatros, cines, club deportivo, farmacias, restaurante/bar, bancos, gasolinera, vigilancia, spa, salones y peluquerías, regalos, agencias automotrices, etc. Cerca de Corporativos, las mejores escuelas y Universidades. Una de las zonas con mayor tradición, historia y plusvalía de la Ciudad de México, segura, y con excelentes opciones para pasear y disfrutar con la familia o amigos.",/propiedades/plaza-carso-2-recamaras-54558849.html,"MN 9,700,000",venta,2.0,2.0,122.0,122.0,2.0,1.0,
